id,title,description,date,youtube_url,youtube_id
73,2月6日文贵、班农、凯琳 回答战友们对春晚爆料的问题,,2019-02-06,https://www.youtube.com/watch?v=IU63W9OCPLs,IU63W9OCPLs
92,2019年1月29日 郭文贵向北朝鲜领导人金正恩先生及金与正女士发出的警告视频，对北朝鲜国家安全和两位个人安全有重大爆料,2019年1月29日 郭文贵向北朝鲜领导人金正恩先生及金与正女士发出的警告视频，对北朝鲜国家安全和两位个人安全有重大爆料,2019-01-29,https://www.youtube.com/watch?v=KGR0R3uxmc4,KGR0R3uxmc4
99,2019年1月27日：王岐山在达沃斯的讲话已经开始了世界的反习运动！,"文貴1/27視頻剪輯
1.王73達沃斯講話在美國政商界影響很大的 布隆伯格最恨習近平 他要革習的命 凱爾巴斯勸文貴別反王
2.委内瑞拉也有一个中国的王73 是美国栽培的
3.文貴為美前官員建議成立獨立檢察官調查中共在美公司
4.委內瑞拉事情成為美國對付中共的練兵行動
5.這個時代給我們帶來的機遇前所未有",2019-01-27,https://www.youtube.com/watch?v=efZo9c1jyH4,efZo9c1jyH4
102,01 24 2019：委内瑞拉的民主反独裁的运动对中国人民的意义与影响重大！,,2019-01-24,https://www.youtube.com/watch?v=pAQ4Kmq7oFU,pAQ4Kmq7oFU
104,1月23日文贵报平安直播,1月23日文贵报平安直播,2019-01-23,https://www.youtube.com/watch?v=H7YOA9eGiBY,H7YOA9eGiBY
107,2019年1月21日：共产党号召学习王阳明的心学是对圣人的巨大侮辱……,,2019-01-21,https://www.youtube.com/watch?v=2MtRmwKRKqM,2MtRmwKRKqM
108,2019年1月20日王岐山，孟建柱．是如何执行南普陀计划！美国人是如何看待……对待！中国新的发誓我这一系列的奇怪的事情！,,2019-01-20,https://www.youtube.com/watch?v=qWfUTqS-5fI,qWfUTqS-5fI
114,2019年1月19日，文贵报平安视频，中共以假治国、以黑治国到了终结的时候，政事小哥事件在国内影响巨大，这是一个让美国人都恐惧的标志性事件。,,2019-01-19,https://www.youtube.com/watch?v=jDRw3YqAX_w,jDRw3YqAX_w
115,2019年1月18日政事小哥！因为受共产党对家人的迫害威胁，不得不离开过爆料革命！这更加坚定了摧毁流氓CCp的决心！以实际行动为战友报仇！一切都是刚刚开始,,2019-01-18,https://www.youtube.com/watch?v=5yx1SOODGpc,5yx1SOODGpc
119,2019年1月17日尊敬的战友们好，你们健身了吗！文贵向你们报告出席华盛顿一系列的活动和几个重大的采访。,2019年1月17日尊敬的战友们好，你们健身了吗！文贵向你们报告出席华盛顿一系列的活动和几个重大的采访。,2019-01-17,https://www.youtube.com/watch?v=dodjLKdrL9E,dodjLKdrL9E
144,2018年12月17号文贵报平安直播，关于昨天被删除的视频和路德Sara女,,2018-12-17,https://www.youtube.com/watch?v=jN6mBqbxx8M,jN6mBqbxx8M
122,2019年1月16日，报平安直播，因春晚收到了国内盗国贼各方的威胁，以及接下来将对盗国贼子女海外资产的一系列行动，慈善基金可能将成为第一个有回报的慈善基金。,2019年1月16日，报平安直播，因春晚收到了国内盗国贼各方的威胁，以及接下来将对盗国贼子女海外资产的一系列行动，慈善基金可能将成为第一个有回报的慈善基金。,2019-01-16,https://www.youtube.com/watch?v=LfQVbNK6XW4,LfQVbNK6XW4
126,2019年1月12日8，老百姓怕共产党，共产党怕洋人 9，有钱人欺负穷人，但是怕政府；官员怕中纪委，中纪委怕证据 10，陈刚是中国政坛唯一横跨三届的官员 11 张海,"8，老百姓怕共产党，共产党怕洋人
9，有钱人欺负穷人，但是怕政府；官员怕中纪委，中纪委怕证据
10，陈刚是中国政坛唯一横跨三届的官员
11，怎样成为了训练场-角斗场上唯一的赢者；真正的挑战还没有到来
12，杀商给官看，以警治国，以黑治国
13，秘密战友，等待世界大环境，2020年
14，张海",2019-01-12,https://www.youtube.com/watch?v=Y0YOSuEWfpk,Y0YOSuEWfpk
130,1月8日文贵报平安视频,1月8日文贵报平安视频,2019-01-08,https://www.youtube.com/watch?v=-cbC6lVnM24,-cbC6lVnM24
132,1月7日文贵报平安直播被黑客掉未成功的视频。谈马云和被双规的成钢以及懒人郭宝胜的案子,1月7日文贵报平安直播被黑客掉未成功的视频。谈马云和被双规的成钢以及懒人郭宝胜的案子,2019-01-07,https://www.youtube.com/watch?v=YHISs3uM5Go,YHISs3uM5Go
133,2019年1月6号文贵报平安直播：关于战友们关心的法制基金的几个问题的回复！以及文贵对香港，澳门台湾法制沦陷……是被孟建柱．王岐山．孙力军等控制的结果几个观点！,2019年1月6号文贵报平安直播：关于战友们关心的法制基金的几个问题的回复！以及文贵对香港，澳门台湾法制沦陷……是被孟建柱．王岐山．孙力军等控制的结果几个观点，以及春节是否举行《文贵看春晚》的节目的几个看法，在今天直播后战友发信息！关心我今天感觉是不是太累了，谢谢战友的关心！答案不是的，我刚刚从迈阿密海滩回来就是因为休息特别好，晒的很黑！才看起来很累的样子！状态特别好，请大家放心，一切都是刚刚开始！,2019-01-06,https://www.youtube.com/watch?v=RwjhD9L_120,RwjhD9L_120
134,1月5日接受庄烈宏先生美东之声访问。中共敢打台湾吗？什么叫战友？2019文贵爆料的具体战略,,2019-01-05,https://www.youtube.com/watch?v=qSlrL_KgY6I,qSlrL_KgY6I
135,2019年1月1日文贵接受木兰小姐访问，什么时候放91号文件，刘承杰他爹到底是谁，共产党会怎样灭亡，2019我们做什么。,,2019-01-02,https://www.youtube.com/watch?v=N3VLi6mbLa8,N3VLi6mbLa8
137,2018年12月29日接受路德先生的访谈，谈马建案与2019年爆料计划和中国私人企业家的命运。,,2018-12-29,https://www.youtube.com/watch?v=bVOF9Ibm-10,bVOF9Ibm-10
139,2018年12月27日郭文贵直播 - 原马健副部长所谓的被判无期徒刑是中共“以黑治国”“以警治国”最好的证明！郭文贵将不惜一切代价为马健先生及绝大多数被残害的共产党员争取公平！真相！还他们自由！,,2018-12-27,https://www.youtube.com/watch?v=Q5ALDM-L0yM,Q5ALDM-L0yM
142,12月21日 谈中美两国夫妻关系及刘特佐是否会被孟建柱做掉 共产党在香港所谓的商政双轨制的控制手段,,2018-12-22,https://www.youtube.com/watch?v=Kipv1uyzSao,Kipv1uyzSao
145,2018年12月16日：郭文贵回答战友之声的问题，聊天，怎么看待习江斗。,,2018-12-16,https://www.youtube.com/watch?v=AKzogKBSC2Y,AKzogKBSC2Y
147,12月14日:感谢战友们的关心！聊天谈谈肖建华死期到了吗？及CCP海外抓铺,,2018-12-14,https://www.youtube.com/watch?v=rsVbeF1ricI,rsVbeF1ricI
148,12月12日：文贵报平安！,,2018-12-12,https://www.youtube.com/watch?v=fHTKLBDB-ew,fHTKLBDB-ew
150,2018年12 月10日：纠正一下昨天直播时的几个口误！刘乐国因为掌握令计划案北大李友案太多案情。,,2018-12-10,https://www.youtube.com/watch?v=uhRUE_v0tT4,uhRUE_v0tT4
